CleanedRegulatedEntityId,RegulatedEntityId,CleanedRegulatedEntityName,PartyName,PartyId,Political Leaning,Special Interest
1411,1411,Mark Francois,Conservative And Unionist Party,52,Political Party,Great Britain
3911,3911,Mark Garnier,Conservative And Unionist Party,52,Political Party,Great Britain
1450,1450,Mark Harper,Conservative And Unionist Party,52,Political Party,Great Britain
1572,1572,Mark Hoban,Conservative And Unionist Party,52,Political Party,Great Britain
1394,1394,Mark Lancaster,Conservative And Unionist Party,52,Political Party,Great Britain
1655,1655,Mark Menzies,Conservative And Unionist Party,52,Political Party,Great Britain
2889,2889,Mark Pawsey,Conservative And Unionist Party,52,Political Party,Great Britain
1366,1366,Mark Prisk,Conservative And Unionist Party,52,Political Party,Great Britain
1514,1514,Mark Pritchard,Conservative And Unionist Party,52,Political Party,Great Britain
2591,2591,Mark Reckless,Conservative And Unionist Party,52,Political Party,Great Britain
1462,1462,Mark Robert Timothy Garnier,Conservative And Unionist Party,52,Political Party,Great Britain
1355,1355,Mark Simmonds,Conservative And Unionist Party,52,Political Party,Great Britain
4160,4160,Mark Spencer,Conservative And Unionist Party,52,Political Party,Great Britain
2072,2072,Martin Vickers,Conservative And Unionist Party,52,Political Party,Great Britain
1513,1513,Mary Macleod,Conservative And Unionist Party,52,Political Party,Great Britain
1513,1669,Mary Macleod,Conservative And Unionist Party,52,Political Party,Great Britain
2845,2845,Mary Robinson,Conservative And Unionist Party,52,Political Party,Great Britain
1677,1677,Matthew Hancock,Conservative And Unionist Party,52,Political Party,Great Britain
1638,1638,Matthew Offord,Conservative And Unionist Party,52,Political Party,Great Britain
10233,10233,Matthew Vickers,Conservative And Unionist Party,52,Political Party,Great Britain
1177,1177,Michael Ancram,Conservative And Unionist Party,52,Political Party,Great Britain
1177,1208,Michael Ancram,Conservative And Unionist Party,52,Political Party,Great Britain
1519,1519,Michael Ellis,Conservative And Unionist Party,52,Political Party,Great Britain
1519,1650,Michael Ellis,Conservative And Unionist Party,52,Political Party,Great Britain
1036,1036,Michael Fabricant,Conservative And Unionist Party,52,Political Party,Great Britain
1371,1371,Michael Fallon,Conservative And Unionist Party,52,Political Party,Great Britain
1586,1586,Michael Gove,Conservative And Unionist Party,52,Political Party,Great Britain
1312,1312,Michael Howard,Conservative And Unionist Party,52,Political Party,Great Britain
1312,1427,Michael Howard,Conservative And Unionist Party,52,Political Party,Great Britain
1039,1039,Michael Portillo,Conservative And Unionist Party,52,Political Party,Great Britain
1481,1481,Michael Richard Weatherley,Conservative And Unionist Party,52,Political Party,Great Britain
2157,2157,Michelle Donelan,Conservative And Unionist Party,52,Political Party,Great Britain
1510,1510,Mike Penning,Conservative And Unionist Party,52,Political Party,Great Britain
2254,2254,Mike Weatherley,Conservative And Unionist Party,52,Political Party,Great Britain
10229,10229,Miriam Cates,Conservative And Unionist Party,52,Political Party,Great Britain
1287,1287,Miss Anne Mcintosh,Conservative And Unionist Party,52,Political Party,Great Britain
1688,1688,Nadhim Zahawi,Conservative And Unionist Party,52,Political Party,Great Britain
1815,1815,Nadine Dorries,Conservative And Unionist Party,52,Political Party,Great Britain
1520,1520,Neil Hudson,Conservative And Unionist Party,52,Political Party,Great Britain
2402,2402,Neil Parish,Conservative And Unionist Party,52,Political Party,Great Britain
1044,1044,Nicholas John Gibb,Conservative And Unionist Party,52,Political Party,Great Britain
1506,1506,Nicholas Winteron,Conservative And Unionist Party,52,Political Party,Great Britain
1909,1909,Nick De Bois,Conservative And Unionist Party,52,Political Party,Great Britain
1335,1335,Nick Herbert,Conservative And Unionist Party,52,Political Party,Great Britain
1840,1840,Nicky Morgan,Conservative And Unionist Party,52,Political Party,Great Britain
1921,1921,Nicola Blackwood,Conservative And Unionist Party,52,Political Party,Great Britain
1625,1625,Nigel Adams,Conservative And Unionist Party,52,Political Party,Great Britain
1625,1627,Nigel Adams,Conservative And Unionist Party,52,Political Party,Great Britain
1093,1093,Nigel Evans,Conservative And Unionist Party,52,Political Party,Great Britain
5281,5281,Nigel Huddleston,Conservative And Unionist Party,52,Political Party,Great Britain
1942,1942,Nigel Mills,Conservative And Unionist Party,52,Political Party,Great Britain
1147,1147,Nigel Waterson,Conservative And Unionist Party,52,Political Party,Great Britain
2018,2018,Oliver Colvile,Conservative And Unionist Party,52,Political Party,Great Britain
4103,4103,Oliver Dowden,Conservative And Unionist Party,52,Political Party,Great Britain
1130,1130,Oliver Heald,Conservative And Unionist Party,52,Political Party,Great Britain
1546,1546,Oliver Letwin,Conservative And Unionist Party,52,Political Party,Great Britain
1396,1396,Owen Paterson,Conservative And Unionist Party,52,Political Party,Great Britain
1596,1596,Patrick Mcloughlin,Conservative And Unionist Party,52,Political Party,Great Britain
1144,1144,Patrick Mercer,Conservative And Unionist Party,52,Political Party,Great Britain
1356,1356,Paul Goodman,Conservative And Unionist Party,52,Political Party,Great Britain
6782,6782,Paul Masterton,Conservative And Unionist Party,52,Political Party,Great Britain
1479,1479,Paul Maynard,Conservative And Unionist Party,52,Political Party,Great Britain
1479,1827,Paul Maynard,Conservative And Unionist Party,52,Political Party,Great Britain
2856,2856,Paul Scully,Conservative And Unionist Party,52,Political Party,Great Britain
1845,1845,Paul Uppal,Conservative And Unionist Party,52,Political Party,Great Britain
1728,1728,Pauline Latham,Conservative And Unionist Party,52,Political Party,Great Britain
1496,1496,Penny Mordaunt,Conservative And Unionist Party,52,Political Party,Great Britain
1674,1674,Peter Bone,Conservative And Unionist Party,52,Political Party,Great Britain
1071,1071,Peter Bottomley,Conservative And Unionist Party,52,Political Party,Great Britain
1276,1276,Peter Duncan,Conservative And Unionist Party,52,Political Party,Great Britain
10230,10230,Peter Gibson,Conservative And Unionist Party,52,Political Party,Great Britain
1113,1113,Peter Lilley,Conservative And Unionist Party,52,Political Party,Great Britain
1295,1295,Peter Luff,Conservative And Unionist Party,52,Political Party,Great Britain
1142,1142,Peter Viggers,Conservative And Unionist Party,52,Political Party,Great Britain
1509,1509,Philip Andrew Davies,Conservative And Unionist Party,52,Political Party,Great Britain
1794,1794,Philip Davies,Conservative And Unionist Party,52,Political Party,Great Britain
1405,1405,Philip Dunne,Conservative And Unionist Party,52,Political Party,Great Britain
1901,1901,Philip Hollobone,Conservative And Unionist Party,52,Political Party,Great Britain
1268,1268,Phillip Hammond,Conservative And Unionist Party,52,Political Party,Great Britain
1682,1682,Phillip Lee,Conservative And Unionist Party,52,Political Party,Great Britain
1670,1670,Priti Patel,Conservative And Unionist Party,52,Political Party,Great Britain
4242,4242,Ranil Jayawardena,Conservative And Unionist Party,52,Political Party,Great Britain
1927,1927,Rebecca Harris,Conservative And Unionist Party,52,Political Party,Great Britain
2039,2039,Richard Bacon,Conservative And Unionist Party,52,Political Party,Great Britain
6377,6377,Richard Fuller,Conservative And Unionist Party,52,Political Party,Great Britain
1880,1880,Richard Graham,Conservative And Unionist Party,52,Political Party,Great Britain
1922,1922,Richard Harrington,Conservative And Unionist Party,52,Political Party,Great Britain
1865,1865,Richard Ottaway,Conservative And Unionist Party,52,Political Party,Great Britain
1186,1186,Richard Ottoway,Conservative And Unionist Party,52,Political Party,Great Britain
1241,1241,Richard Page,Conservative And Unionist Party,52,Political Party,Great Britain
1291,1291,Richard Spring,Conservative And Unionist Party,52,Political Party,Great Britain
1468,1468,Robert Buckland,Conservative And Unionist Party,52,Political Party,Great Britain
1124,1124,Robert Goodwill,Conservative And Unionist Party,52,Political Party,Great Britain
1124,1564,Robert Goodwill,Conservative And Unionist Party,52,Political Party,Great Britain
1581,1581,Robert Halfon,Conservative And Unionist Party,52,Political Party,Great Britain
1581,1680,Robert Halfon,Conservative And Unionist Party,52,Political Party,Great Britain
1154,1154,Robert Jackson,Conservative And Unionist Party,52,Political Party,Great Britain
2885,2885,Robert Jenrick,Conservative And Unionist Party,52,Political Party,Great Britain
1307,1307,Robert Key,Conservative And Unionist Party,52,Political Party,Great Britain
10264,10264,Robert Largan,Conservative And Unionist Party,52,Political Party,Great Britain
1591,1591,Robert Neill,Conservative And Unionist Party,52,Political Party,Great Britain
1064,1064,Robert Spink,Conservative And Unionist Party,52,Political Party,Great Britain
1046,1046,Robert Walter,Conservative And Unionist Party,52,Political Party,Great Britain
1610,1610,Roger Gale,Conservative And Unionist Party,52,Political Party,Great Britain
5269,5269,Ross Thomson,Conservative And Unionist Party,52,Political Party,Great Britain
5269,6591,Ross Thomson,Conservative And Unionist Party,52,Political Party,Great Britain
2224,2224,Royston Smith,Conservative And Unionist Party,52,Political Party,Great Britain
2224,4110,Royston Smith,Conservative And Unionist Party,52,Political Party,Great Britain
1797,1797,Sajid Javid,Conservative And Unionist Party,52,Political Party,Great Britain
10234,10234,Scott Benton,Conservative And Unionist Party,52,Political Party,Great Britain
6309,6309,Scott Mann,Conservative And Unionist Party,52,Political Party,Great Britain
6554,6554,Seema Kennedy,Conservative And Unionist Party,52,Political Party,Great Britain
1467,1467,Shailesh Vara,Conservative And Unionist Party,52,Political Party,Great Britain
6898,6898,Shaun Bailey,Conservative And Unionist Party,52,Political Party,Great Britain
1777,1777,Sheryll Murray,Conservative And Unionist Party,52,Political Party,Great Britain
