Original RegulatedEntityId,RegulatedEntityId,OriginalRegulatedEntityName,RegulatedEntityName,RegisterName,RegulatedDoneeType,RegulatedEntityType,CleanedName,Status,PoliticalParty_pdpy
1039,1039,The Rt Hon Michael Denzil Xavier Portillo Mp,The Rt Hon Michael Denzil Xavier Portillo Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Michael Denzil Xavier Portillo,The Rt Hon & Mp,Unknown
1371,1371,The Rt Hon Michael Fallon Mp,The Rt Hon Michael Fallon Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Michael Fallon,The Rt Hon & Mp,Conservative
1312,1312,The Rt Hon Michael Howard Mp,The Rt Hon Michael Howard Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Michael Howard,The Rt Hon & Mp,Conservative
1510,1510,The Rt Hon Mike Penning Mp,The Rt Hon Mike Penning Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Mike Penning,The Rt Hon & Mp,Unknown
1329,1329,The Rt Hon Nicholas Brown Mp,The Rt Hon Nicholas Brown Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Nicholas Brown,The Rt Hon & Mp,Labour
1358,1358,The Rt Hon Nick Clegg Mp,The Rt Hon Nick Clegg Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Nick Clegg,The Rt Hon & Mp,Unknown
1408,1408,The Rt Hon Nick Clegg Mp,The Rt Hon Nick Clegg Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Nick Clegg,The Rt Hon & Mp,Unknown
1378,1378,The Rt Hon Peter Hain Mp,The Rt Hon Peter Hain Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Peter Hain,The Rt Hon & Mp,Labour
1435,1435,The Rt Hon Simon Hughes Mp,The Rt Hon Simon Hughes Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Simon Hughes,The Rt Hon & Mp,Liberal Democrat
1846,1846,Tom Watson Mp,Tom Watson Mp,Great Britain,MEP - Member of the European Parliament,Regulated Donee,Tom Watson,Mp,Unknown
2859,2859,Alan Mak Mp,Alan Mak Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Alan Mak,Mp,Conservative
6304,6304,Alec Shelbrooke,Alec Shelbrooke,Great Britain,MP - Member of Parliament,Regulated Donee,Alec Shelbrooke,,Conservative
6645,6645,Alex Burghart,Alex Burghart,Great Britain,MP - Member of Parliament,Regulated Donee,Alex Burghart,,Conservative
1078,1078,Alex Salmond Mp,Alex Salmond Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Alex Salmond,Mp,Scottish National Party
9150,9150,Alex Sobel,Alex Sobel,Great Britain,MP - Member of Parliament,Regulated Donee,Alex Sobel,,Labour
6311,6311,Alexander Stewart Msp,Alexander Stewart Msp,Great Britain,MP - Member of Parliament,Regulated Donee,Alexander Stewart,Msp,Unknown
3910,3910,Alison Mcgovern Mp,Alison Mcgovern Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Alison Mcgovern,Mp,Unknown
4097,4097,Amanda Milling Mp,Amanda Milling Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Amanda Milling,Mp,Conservative
2860,2860,Andrea Jenkyns Mp,Andrea Jenkyns Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Andrea Jenkyns,Mp,Conservative
7934,7934,Andrew Lewin,Andrew Lewin,Great Britain,MP - Member of Parliament,Regulated Donee,Andrew Lewin,,Unknown
5284,5284,Andrew Turner Mp,Andrew Turner Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Andrew Turner,Mp,Conservative
6621,6621,Angela Burns,Angela Burns,Great Britain,MP - Member of Parliament,Regulated Donee,Angela Burns,,Unknown
2585,2585,Angela Eagle Mp,Angela Eagle Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Angela Eagle,Mp,Labour
4244,4244,Angela Smith Mp,Angela Smith Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Angela Smith,Mp,Labour
1503,1503,Ann Winterton Mp,Ann Winterton Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Ann Winterton,Mp,Conservative
6695,6695,Anna Mcmorrin,Anna Mcmorrin,Great Britain,MP - Member of Parliament,Regulated Donee,Anna Mcmorrin,,Unknown
2887,2887,Anne Main Mp,Anne Main Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Anne Main,Mp,Conservative
6556,6556,Antoinette Sandbach,Antoinette Sandbach,Great Britain,MP - Member of Parliament,Regulated Donee,Antoinette Sandbach,,Conservative
7917,7917,Ben Bradley,Ben Bradley,Great Britain,MP - Member of Parliament,Regulated Donee,Ben Bradley,,Conservative
6540,6540,Beth Prescott,Beth Prescott,Great Britain,MP - Member of Parliament,Regulated Donee,Beth Prescott,,Unknown
2862,2862,Byron Davies Mp,Byron Davies Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Byron Davies,Mp,Conservative
4108,4108,Callum Mccaig Mp,Callum Mccaig Mp,Great Britain,MP - Member of Parliament,Regulated Donee,Callum Mccaig,Mp,Unknown
